Billing Code,Name,Category
27447,"Arthroplasty, knee, condyle and plateau",Surgeries & Procedures
58571,"Laparoscopy, surgical, with total hysterectomy, for uterus 250 g or less",Surgeries & Procedures
27130,"Repair, Revision, andor Reconstruction Procedures on the Pelvis and Hip Joint",Surgeries & Procedures
43239,Esophagogastroduodenoscopy,Gastroenterology Procedures
47562,"Laparoscopy, surgical",Surgeries & Procedures
45385,"Colonoscopy, flexible, proximal to splenic flexure",Gastroenterology Procedures
23472,"Arthroplasty, glenohumeral joint",Surgeries & Procedures
58563,"Hysteroscopy, surgical",Surgeries & Procedures
45378,"Colonoscopy, flexible, proximal to splenic flexure",Gastroenterology Procedures
52356,"Cystourethroscopy, with ureteroscopy andor pyeloscopy",Surgeries & Procedures
58661,"Laparoscopy, surgical",Surgeries & Procedures
45380,"Colonoscopy, flexible, proximal to splenic flexure",Gastroenterology Procedures
29827,"Arthroscopy, shoulder, surgical",Surgeries & Procedures
S2900,Surgical techniques requiring use of robotic surgical system list separately in addition to code for primary procedure,Surgeries & Procedures
74420,Diagnostic Radiology Diagnostic Imaging Procedures of the Urinary Tract,Imaging & Radiology
52332,Ureter and Pelvis Transurethral Surgical Procedures,Surgeries & Procedures
49650,"Laparoscopy, surgical",Surgeries & Procedures
64582,"Hypoglossal nerve, neurostimulator array, pulse generator, and distal respiratory sensor electrode or electrode array",Surgeries & Procedures
19318,Repair andor Reconstruction Procedures on the Breast,Surgeries & Procedures
27446,"Arthroplasty, knee, condyle and plateau",Surgeries & Procedures
57288,Repair Procedures on the Vagina,Surgeries & Procedures
42820,Tonsillectomy and adenoidectomy,Surgeries & Procedures
19301,"Mastectomy, partial eg, lumpectomy, tylectomy, quadrantectomy, segmentectomy",Surgeries & Procedures
29888,EndoscopyArthroscopy Procedures on the Musculoskeletal System,Surgeries & Procedures
29881,"Arthroscopy, knee, surgical",Surgeries & Procedures
69436,Incision Procedures on the Middle Ear,Surgeries & Procedures
58662,"Laparoscopy, surgical",Surgeries & Procedures
52601,Vesical Neck and Prostate Surgical Procedures,Surgeries & Procedures
29828,"Arthroscopy, shoulder, surgical",Surgeries & Procedures
58558,"Hysteroscopy, surgical",Surgeries & Procedures
55866,Laparoscopic Procedures on the Prostate,Surgeries & Procedures
64721,Neuroplasty andor transposition,Surgeries & Procedures
43281,"Laparoscopy, surgical, repair of paraesophageal hernia, includes fundoplasty, when performed",Surgeries & Procedures
66984,Intraocular Lens Procedures,Surgeries & Procedures
43235,Esophagogastroduodenoscopy,Gastroenterology Procedures
15830,"Excision, excessive skin and subcutaneous tissue includes lipectomy",Surgeries & Procedures
38900,Other Procedures of the Hemic or Lymphatic System,Other
43249,Esophagogastroduodenoscopy,Gastroenterology Procedures
19303,Mastectomy Procedures,Surgeries & Procedures
